Uid,Mid,Ratings,Genre
1,31,2.5,Drama
1,1029,3,Animation
1,1061,3,Thriller
1,1129,2,Action
1,1172,4,Drama
1,1263,2,Drama
1,1287,2,Action
1,1293,2,Drama
1,1339,3.5,Fantasy
1,1343,2,Thriller
1,1371,2.5,Adventure
1,1405,1,Adventure
1,1953,4,Action
1,2105,4,Action
1,2150,3,Adventure
1,2193,2,Action
1,2294,2,Adventure
1,2455,2.5,Drama
1,2968,1,Adventure
1,3671,3,Comedy
2,10,4,Action
2,17,5,Romance
2,39,5,Comedy
2,47,4,Mystery
2,50,4,Crime
2,52,3,Comedy
2,62,3,Drama
2,110,4,Action
2,144,3,Comedy
2,150,5,IMAX
2,153,4,Action
2,161,3,Thriller
2,165,3,Crime
2,168,3,Action
2,185,3,Thriller
2,186,3,Romance
2,208,3,Sci-Fi
2,222,5,Romance
2,223,1,Comedy
2,225,3,Thriller
2,235,3,Comedy
2,248,3,Comedy
2,253,4,Horror
2,261,4,Drama
2,265,5,Fantasy
2,266,5,Western
2,272,3,Drama
2,273,4,Sci-Fi
2,292,3,Thriller
2,296,4,Comedy
2,300,3,Drama
2,314,4,Children
2,317,2,Comedy
2,319,1,Comedy
2,339,3,Romance
2,349,4,Action
2,350,4,Thriller
2,356,3,War
2,357,3,Romance
2,364,3,IMAX
2,367,3,Fantasy
2,370,2,Action
2,371,3,Comedy
2,372,3,Comedy
2,377,3,Action
2,382,3,Drama
2,405,2,Action
2,410,3,Children
2,454,4,Thriller
2,457,3,Thriller
2,468,4,Comedy
2,474,2,Thriller
2,480,4,Action
2,485,3,Fantasy
2,497,3,Comedy
2,500,4,Drama
2,508,4,Drama
2,509,4,Romance
2,515,4,Drama
2,527,4,War
2,537,4,Drama
2,539,3,Romance
2,550,3,Comedy
2,551,5,Animation
2,552,3,Adventure
2,585,5,Comedy
2,586,3,Children
2,587,3,Fantasy
2,588,3,Adventure
2,589,5,Sci-Fi
2,590,5,Western
2,592,5,Thriller
2,593,3,Crime
2,616,3,Children
2,661,4,Children
2,720,4,Comedy
3,60,3,Adventure
3,110,4,Action
3,247,3.5,Crime
3,267,3,Comedy
3,296,4.5,Thriller
3,318,5,Crime
3,355,2.5,Children
3,356,5,War
3,377,2.5,Thriller
3,527,3,War
3,588,3,Musical
3,592,3,Action
3,593,3,Crime
3,595,2,IMAX
3,736,3.5,Thriller
3,778,4,Comedy
3,866,3,Romance
3,1197,5,Fantasy
3,1210,3,Sci-Fi
